Sample_ID,pcr_replicate,biological_replicate,extraction_ID,extraction_replicate,run,collection_year,collection_month,collection_day,location1,longitude,latitude,sample_type,time_of_day,extraction_date,plate_or_vial,extraction_plate,extraction_well,dna_conc,pcr_conc
e02063_A,A,e02063,e02063,1,B,2021,7,17,88,-160.628,55.3223,sample,10:55,2022_02_23,plate,2_2022,H11,10.687,21.909
e02064_A,A,e02064,e02064,1,B,2021,7,17,88,-160.628,55.3223,sample,10:55,2022_02_23,plate,2_2022,A12,2.287,20.973
e02065_A,A,e02065,e02065,1,B,2021,7,17,88,-160.628,55.3223,sample,10:55,2022_02_23,plate,2_2022,B12,4.796,20.937
e02066_A,A,e02066,e02066,1,B,2021,7,18,92,-159.365,55.7724,sample,11:11,2022_02_23,plate,2_2022,C12,1.207,23.016
e02067_A,A,e02067,e02067,1,B,2021,7,18,92,-159.365,55.7724,sample,11:11,2022_02_23,plate,2_2022,D12,3.494,23.136
e02068_A,A,e02068,e02068,1,B,2021,7,18,92,-159.365,55.7724,sample,11:11,2022_02_23,plate,2_2022,E12,1.515,23.654
e02069_A,A,e02069,e02069,1,B,2021,7,18,93,-159.368,55.7722,sample,11:50,2022_02_23,plate,2_2022,F12,0.737,19.089
e02070_A,A,e02070,e02070,1,B,2021,7,18,93,-159.368,55.7722,sample,11:50,2022_02_23,plate,2_2022,G12,2.058,22.098
e02071_A,A,e02071,e02071,1,B,,,,,,,extraction_blank,,2022_02_23,plate,2_2022,H12,0.282,7.794
NC1_2_B,B,NC1_2,NC1_2,1,B,,,,,,,PCR_blank,,,,,,NA,1.462
NC2_2_B,B,NC2_2,NC2_2,1,B,,,,,,,PCR_blank,,,,,,NA,1.67
PC1_2_B,B,PC1_2,PC1_2,1,B,,,,,,,positive_control,,,,,,NA,22.355
e00563_B,B,e00563,e00563,1,B,2021,7,10,62,-159.527,55.1472,sample,13:23,2022_02_23,plate,2_2022,A02,8.189,19.584
e00564_B,B,e00564,e00564,1,B,2021,7,10,63,-159.517,55.1705,sample,16:26,2022_02_23,plate,2_2022,B02,3.699,19.257
e00565_B,B,e00565,e00565,1,B,2021,7,10,63,-159.517,55.1705,sample,16:26,2022_02_23,plate,2_2022,C02,2.002,20.515
e00566_B,B,e00566,e00566,1,B,2021,7,10,63,-159.517,55.1705,sample,16:26,2022_02_23,plate,2_2022,D02,3.481,23.247
e00567_B,B,e00567,e00567,1,B,2021,7,10,NA,NA,NA,sample,16:53,2022_02_23,plate,2_2022,E02,5.22,22.621
e00568_B,B,e00568,e00568,1,B,2021,7,10,NA,NA,NA,sample,16:53,2022_02_23,plate,2_2022,F02,2.939,23.05
e00569_B,B,e00569,e00569,1,B,2021,7,10,NA,NA,NA,sample,16:53,2022_02_23,plate,2_2022,G02,2.16,20.499
e00570_B,B,e00570,e00570,1,B,2021,7,11,64,-159.405,55.0332,sample,8:38,2022_02_23,plate,2_2022,H02,9.469,7.513
e00571_B,B,e00571,e00571,1,B,2021,7,11,64,-159.405,55.0332,sample,8:38,2022_02_23,plate,2_2022,A03,16.415,21.598
e00572_B,B,e00572,e00572,1,B,2021,7,11,64,-159.405,55.0332,sample,8:38,2022_02_23,plate,2_2022,B03,12.283,20.334
e00573_B,B,e00573,e00573,1,B,2021,7,11,NA,NA,NA,sample,10:17,2022_02_23,plate,2_2022,C03,25.418,19.352
e00574_B,B,e00574,e00574,1,B,2021,7,11,NA,NA,NA,sample,10:17,2022_02_23,plate,2_2022,D03,5.116,20.561
e00575_B,B,e00575,e00575,1,B,2021,7,11,NA,NA,NA,sample,10:17,2022_02_23,plate,2_2022,E03,20.865,21.701
e00576_B,B,e00576,e00576,1,B,2021,7,11,65,-159.602,55.0846,sample,13:25,2022_02_23,plate,2_2022,F03,3.635,21.02
e00577_B,B,e00577,e00577,1,B,2021,7,11,65,-159.602,55.0846,sample,13:25,2022_02_23,plate,2_2022,G03,7.223,19.656
e00578_B,B,e00578,e00578,1,B,2021,7,11,65,-159.602,55.0846,sample,13:25,2022_02_23,plate,2_2022,H03,4.655,21.117
e00579_B,B,e00579,e00579,1,B,2021,7,11,NA,NA,NA,sample,13:49,2022_02_23,plate,2_2022,A04,11.265,20.355
e00580_B,B,e00580,e00580,1,B,2021,7,11,NA,NA,NA,sample,13:49,2022_02_23,plate,2_2022,B04,7.052,16.332
e00581_B,B,e00581,e00581,1,B,2021,7,11,NA,NA,NA,sample,13:49,2022_02_23,plate,2_2022,C04,8.364,21.464
e00582_B,B,e00582,e00582,1,B,2021,7,11,66,-159.623,55.0829,sample,14:03,2022_02_23,plate,2_2022,D04,4.415,10.559
e00583_B,B,e00583,e00583,1,B,2021,7,11,66,-159.623,55.0829,sample,14:03,2022_02_23,plate,2_2022,E04,4,15.362
e00584_B,B,e00584,e00584,1,B,2021,7,11,66,-159.623,55.0829,sample,14:03,2022_02_23,plate,2_2022,F04,1.598,12.727
e00585_B,B,e00585,e00585,1,B,2021,7,11,67,-159.595,55.0911,sample,14:54,2022_02_23,plate,2_2022,G04,17.877,22.634
e00586_B,B,e00586,e00586,1,B,2021,7,11,67,-159.595,55.0911,sample,14:54,2022_02_23,plate,2_2022,H04,9.261,21.135
e00587_B,B,e00587,e00587,1,B,2021,7,11,67,-159.595,55.0911,sample,14:54,2022_02_23,plate,2_2022,A05,5.505,24.073
e00588_B,B,e00588,e00588,1,B,2021,7,12,70,-159.863,55.1383,sample,8:26,2022_02_23,plate,2_2022,B05,11.991,16.026
e00589_B,B,e00589,e00589,1,B,2021,7,12,70,-159.863,55.1383,sample,8:26,2022_02_23,plate,2_2022,C05,14.284,19.908
e00590_B,B,e00590,e00590,1,B,2021,7,12,70,-159.863,55.1383,sample,8:26,2022_02_23,plate,2_2022,D05,9.879,17.48
e00591_B,B,e00591,e00591,1,B,2021,7,12,71,-159.867,55.1349,sample,9:25,2022_02_23,plate,2_2022,E05,30.251,21.911
e00592_B,B,e00592,e00592,1,B,2021,7,12,71,-159.867,55.1349,sample,9:25,2022_02_23,plate,2_2022,F05,3.54,20.642
e00593_B,B,e00593,e00593,1,B,2021,7,12,71,-159.867,55.1349,sample,9:25,2022_02_23,plate,2_2022,G05,23.645,22.253
e00594_B,B,e00594,e00594,1,B,2021,7,12,72,-159.9,55.2289,sample,14:03,2022_02_23,plate,2_2022,H05,8.116,19.793
e00595_B,B,e00595,e00595,1,B,2021,7,12,72,-159.9,55.2289,sample,14:03,2022_02_23,plate,2_2022,A06,9.599,19.474
e00596_B,B,e00596,e00596,1,B,2021,7,12,72,-159.9,55.2289,sample,14:03,2022_02_23,plate,2_2022,B06,8.916,20.024
e00597_B,B,e00597,e00597,1,B,2021,7,12,74,-160.019,55.1037,sample,20:57,2022_02_23,plate,2_2022,C06,28.925,19.545
e00598_B,B,e00598,e00598,1,B,2021,7,12,74,-160.019,55.1037,sample,20:57,2022_02_23,plate,2_2022,D06,13.413,13.247
e00599_B,B,e00599,e00599,1,B,2021,7,12,74,-160.019,55.1037,sample,20:57,2022_02_23,plate,2_2022,E06,36.555,9.479
e00600_B,B,e00600,e00600,1,B,2021,7,12,73,-160.008,55.1016,sample,20:13,2022_02_23,plate,2_2022,F06,27.44,21.407
e00601_B,B,e00601,e00601,1,B,2021,7,12,73,-160.008,55.1016,sample,20:13,2022_02_23,plate,2_2022,G06,18.554,18.016
e00602_B,B,e00602,e00602,1,B,2021,7,12,73,-160.008,55.1016,sample,20:13,2022_02_23,plate,2_2022,H06,13.377,19.589
e00603_B,B,e00603,e00603,1,B,2021,7,13,75,-159.988,55.1126,sample,8:33,2022_02_23,plate,2_2022,A07,14.778,22.384
e00604_B,B,e00604,e00604,1,B,2021,7,13,75,-159.988,55.1126,sample,8:33,2022_02_23,plate,2_2022,B07,17.5,21.456
e00605_B,B,e00605,e00605,1,B,2021,7,13,75,-159.988,55.1126,sample,8:33,2022_02_23,plate,2_2022,C07,11.893,22.301
e00606_B,B,e00606,e00606,1,B,2021,7,13,76,-159.999,55.1527,sample,9:40,2022_02_23,plate,2_2022,D07,7.099,21.066
e00607_B,B,e00607,e00607,1,B,2021,7,13,76,-159.999,55.1527,sample,9:40,2022_02_23,plate,2_2022,E07,8.574,20.133
e00608_B,B,e00608,e00608,1,B,2021,7,13,76,-159.999,55.1527,sample,9:40,2022_02_23,plate,2_2022,F07,3.116,18.107
e00609_B,B,e00609,e00609,1,B,2021,7,13,77,-159.994,55.1535,sample,10:18,2022_02_23,plate,2_2022,G07,12.762,19.253
e00610_B,B,e00610,e00610,1,B,2021,7,13,77,-159.994,55.1535,sample,10:18,2022_02_23,plate,2_2022,H07,9.05,22.214
e02032_B,B,e02032,e02032,1,B,2021,7,13,77,-159.994,55.1535,sample,10:18,2022_02_23,plate,2_2022,A08,15.5,24.891
e02033_B,B,e02033,e02033,1,B,2021,7,14,NA,NA,NA,sample,8:39,2022_02_23,plate,2_2022,B08,6.327,19.72
e02034_B,B,e02034,e02034,1,B,2021,7,14,NA,NA,NA,sample,8:39,2022_02_23,plate,2_2022,C08,14.96,19.141
e02035_B,B,e02035,e02035,1,B,2021,7,14,NA,NA,NA,sample,8:39,2022_02_23,plate,2_2022,D08,2.494,20.724
e02036_B,B,e02036,e02036,1,B,2021,7,14,78,-160.337,55.3373,sample,9:03,2022_02_23,plate,2_2022,E08,4.533,16.085
e02037_B,B,e02037,e02037,1,B,2021,7,14,78,-160.337,55.3373,sample,9:03,2022_02_23,plate,2_2022,F08,4.745,18.869
e02038_B,B,e02038,e02038,1,B,2021,7,14,78,-160.337,55.3373,sample,9:03,2022_02_23,plate,2_2022,G08,10.376,20.135
e02039_B,B,e02039,e02039,1,B,2021,7,14,79,-161.703,55.1384,sample,18:12,2022_02_23,plate,2_2022,H08,5.944,19.127
e02040_B,B,e02040,e02040,1,B,2021,7,14,79,-161.703,55.1384,sample,18:12,2022_02_23,plate,2_2022,A09,4.417,20.883
e02041_B,B,e02041,e02041,1,B,2021,7,14,79,-161.703,55.1384,sample,18:12,2022_02_23,plate,2_2022,B09,6.77,21.45
e02042_B,B,e02042,e02042,1,B,2021,7,14,81,-161.729,55.1395,sample,19:26,2022_02_23,plate,2_2022,C09,2.671,19.173
e02043_B,B,e02043,e02043,1,B,2021,7,14,81,-161.729,55.1395,sample,19:26,2022_02_23,plate,2_2022,D09,8.766,22.15
e02044_B,B,e02044,e02044,1,B,2021,7,14,81,-161.729,55.1395,sample,19:26,2022_02_23,plate,2_2022,E09,10.796,21.551
e02045_B,B,e02045,e02045,1,B,2021,7,15,82,-161.7962,55.1281,sample,9:07,2022_02_23,plate,2_2022,F09,9.301,20.853
e02046_B,B,e02046,e02046,1,B,2021,7,15,82,-161.7962,55.1281,sample,9:07,2022_02_23,plate,2_2022,G09,7.433,22.602
e02047_B,B,e02047,e02047,1,B,2021,7,15,82,-161.7962,55.1281,sample,9:07,2022_02_23,plate,2_2022,H09,7.245,22.641
e02048_B,B,e02048,e02048,1,B,2021,7,15,83,-162.111,55.1484,sample,13:52,2022_02_23,plate,2_2022,A10,4.541,23.052
e02049_B,B,e02049,e02049,1,B,2021,7,15,83,-162.111,55.1484,sample,13:52,2022_02_23,plate,2_2022,B10,5.825,23.23
e02050_B,B,e02050,e02050,1,B,2021,7,15,83,-162.111,55.1484,sample,13:52,2022_02_23,plate,2_2022,C10,4.615,22.81
e02051_B,B,e02051,e02051,1,B,2021,7,15,84,-162.093,55.16,sample,14:49,2022_02_23,plate,2_2022,D10,11.564,23.06
e02052_B,B,e02052,e02052,1,B,2021,7,15,84,-162.093,55.16,sample,14:49,2022_02_23,plate,2_2022,E10,16.376,23.892
e02053_B,B,e02053,e02053,1,B,2021,7,15,84,-162.093,55.16,sample,14:49,2022_02_23,plate,2_2022,F10,10.99,24.694
e02054_B,B,e02054,e02054,1,B,2021,7,16,85,-161.286,55.585,sample,7:30,2022_02_23,plate,2_2022,G10,6.405,20.085
e02055_B,B,e02055,e02055,1,B,2021,7,16,85,-161.286,55.585,sample,7:30,2022_02_23,plate,2_2022,H10,2.738,20.164
e02056_B,B,e02056,e02056,1,B,2021,7,16,85,-161.286,55.585,sample,7:30,2022_02_23,plate,2_2022,A11,2.727,23.42
e02057_B,B,e02057,e02057,1,B,2021,7,17,86,-160.607,55.3438,sample,8:46,2022_02_23,plate,2_2022,B11,6.002,23.278
