sample	library	run	r1_file	r2_file	reads_raw_r1	reads_raw_r2	reads_primers_fwd	reads_primers_rvs	reads_filtered_fwd	reads_filtered_rvs	reads_tabled	reads_chimera_checked	reads_tax.length_filtered
e00473-B	e00473-B	1	e00473-B_S166_L001_R1_001.fastq.gz	e00473-B_S166_L001_R2_001.fastq.gz	35511	35511	35045	35045	34624	34624	32418	31824	31824
e00473-C	e00473-C	1	e00473-C_S262_L001_R1_001.fastq.gz	e00473-C_S262_L001_R2_001.fastq.gz	30353	30353	29922	29922	29611	29611	27876	27463	27463
e00474-A	e00474-A	1	e00474-A_S71_L001_R1_001.fastq.gz	e00474-A_S71_L001_R2_001.fastq.gz	38079	38079	37512	37512	37099	37099	34669	33787	33787
e00474-B	e00474-B	1	e00474-B_S167_L001_R1_001.fastq.gz	e00474-B_S167_L001_R2_001.fastq.gz	34353	34353	33874	33874	33510	33510	30008	29831	29831
e00474-C	e00474-C	1	e00474-C_S263_L001_R1_001.fastq.gz	e00474-C_S263_L001_R2_001.fastq.gz	28854	28854	28463	28463	27830	27830	24112	23683	23683
e00475-A	e00475-A	1	e00475-A_S72_L001_R1_001.fastq.gz	e00475-A_S72_L001_R2_001.fastq.gz	20051	20051	19784	19784	19480	19480	17362	17156	17156
e00475-B	e00475-B	1	e00475-B_S168_L001_R1_001.fastq.gz	e00475-B_S168_L001_R2_001.fastq.gz	33278	33278	32819	32819	32423	32423	28271	27514	27514
e00475-C	e00475-C	1	e00475-C_S264_L001_R1_001.fastq.gz	e00475-C_S264_L001_R2_001.fastq.gz	26130	26130	25776	25776	25384	25384	19902	19789	19789
e00476-A	e00476-A	1	e00476-A_S73_L001_R1_001.fastq.gz	e00476-A_S73_L001_R2_001.fastq.gz	40461	40461	39868	39868	39390	39390	35743	34675	34673
e00476-B	e00476-B	1	e00476-B_S169_L001_R1_001.fastq.gz	e00476-B_S169_L001_R2_001.fastq.gz	32047	32047	31600	31600	31208	31208	28530	27946	27946
e00476-C	e00476-C	1	e00476-C_S265_L001_R1_001.fastq.gz	e00476-C_S265_L001_R2_001.fastq.gz	28583	28583	28186	28186	27840	27840	24527	24032	24028
e00477-A	e00477-A	1	e00477-A_S74_L001_R1_001.fastq.gz	e00477-A_S74_L001_R2_001.fastq.gz	24435	24435	24124	24124	23838	23838	21414	20779	20779
e00477-B	e00477-B	1	e00477-B_S170_L001_R1_001.fastq.gz	e00477-B_S170_L001_R2_001.fastq.gz	30474	30474	30077	30077	29811	29811	25575	24816	24816
e00477-C	e00477-C	1	e00477-C_S266_L001_R1_001.fastq.gz	e00477-C_S266_L001_R2_001.fastq.gz	33543	33543	33122	33122	32783	32783	28039	27497	27497
e00478-A	e00478-A	1	e00478-A_S75_L001_R1_001.fastq.gz	e00478-A_S75_L001_R2_001.fastq.gz	25321	25321	24986	24986	24686	24686	22366	21843	21843
e00478-B	e00478-B	1	e00478-B_S171_L001_R1_001.fastq.gz	e00478-B_S171_L001_R2_001.fastq.gz	34422	34422	33974	33974	33560	33560	29319	28928	28928
e00478-C	e00478-C	1	e00478-C_S267_L001_R1_001.fastq.gz	e00478-C_S267_L001_R2_001.fastq.gz	32271	32271	31865	31865	31421	31421	26279	25609	25609
e00479-A	e00479-A	1	e00479-A_S76_L001_R1_001.fastq.gz	e00479-A_S76_L001_R2_001.fastq.gz	28570	28570	28186	28186	27878	27878	24881	24127	24127
e00479-B	e00479-B	1	e00479-B_S172_L001_R1_001.fastq.gz	e00479-B_S172_L001_R2_001.fastq.gz	39336	39336	38881	38881	38430	38430	32337	31896	31896
e00479-C	e00479-C	1	e00479-C_S268_L001_R1_001.fastq.gz	e00479-C_S268_L001_R2_001.fastq.gz	26563	26563	26230	26230	25919	25919	21569	21153	21153
